cluster_id,pattern_name,total_plays,goals,shots,losses,avg_duration,avg_forward_progress,avg_events,wing_plays
592,Wing Attack Fast Short,2,0,0,2,4.621000000000095,18.145000000000003,3.5,2
593,Wing Attack Medium Mid,2,0,0,2,8.291499999999814,26.645000000000003,4.5,2
594,Mixed Attack Slow Build Deep,2,0,0,2,22.689000000000078,45.14,12.0,1
595,Central Attack Slow Build Short,2,0,0,2,13.263000000000375,15.024999999999997,4.0,0
596,Wing Attack Slow Build Deep,2,0,1,1,23.706999999999994,33.86,16.0,2
597,Mixed Attack Medium Deep,2,0,0,2,7.557999999999993,61.34,4.0,1
598,Central Attack Slow Build Short,2,0,0,2,24.106999999999985,16.24,15.0,0
599,Mixed Attack Slow Build Deep,2,0,0,2,27.744499999999903,56.475,16.5,1
600,Wing Attack Medium Short,2,0,0,2,7.957499999999982,7.34,7.5,2
601,Wing Attack Slow Build Deep,2,0,0,2,18.501999999999953,30.255,10.5,2
602,Mixed Attack Slow Build Mid,2,0,0,2,26.8599999999999,28.339999999999996,18.0,1
603,Mixed Attack Medium Mid,2,0,0,2,9.426500000000033,21.455,7.0,1
604,Wing Attack Fast Short,2,0,0,2,3.1859999999996944,17.134999999999998,3.0,2
605,Mixed Attack Slow Build Deep,2,0,0,2,18.869000000000028,41.235,11.0,1
606,Wing Attack Medium Short,2,0,0,2,8.008499999999913,7.985000000000003,3.5,2
607,Wing Attack Fast Mid,2,0,0,2,4.954499999999598,20.124999999999996,4.5,2
608,Central Attack Slow Build Deep,2,0,0,2,15.682499999999663,66.63,10.0,0
609,Central Attack Slow Build Deep,2,0,0,2,25.942499999999654,39.47,19.5,0
610,Central Attack Slow Build Mid,2,0,0,2,16.449499999999887,27.375,10.0,0
611,Central Attack Medium Short,2,0,0,2,7.441000000000258,11.879999999999999,4.5,0
612,Mixed Attack Slow Build Short,2,0,0,2,13.38000000000011,6.505000000000001,9.0,1
613,Central Attack Medium Short,2,0,0,2,7.440499999999929,14.04,6.0,0
614,Mixed Attack Slow Build Short,2,0,0,2,26.660500000000297,19.099999999999998,19.0,1
615,Mixed Attack Slow Build Mid,2,0,0,2,12.328999999999986,28.625,11.5,1
616,Mixed Attack Slow Build Deep,2,0,0,2,11.42749999999998,37.47,6.0,1
617,Mixed Attack Slow Build Deep,2,0,0,2,19.286000000000058,32.89,13.0,1
618,Wing Attack Slow Build Short,2,0,0,2,23.456999999999937,7.36,13.0,2
619,Wing Attack Slow Build Short,2,0,0,2,23.207000000000107,13.11,10.5,2
620,Mixed Attack Slow Build Short,2,0,0,2,21.538500000000113,14.855,13.5,1
621,Central Attack Medium Short,2,0,0,2,8.508499999999913,12.655,6.5,0
622,Wing Attack Slow Build Short,2,0,0,2,11.194500000000062,6.800000000000001,7.5,2
623,Central Attack Medium Short,2,0,0,2,6.339500000000271,15.605,6.0,0
624,Mixed Attack Slow Build Short,2,0,0,2,26.793000000000006,8.209999999999999,16.5,1
625,Mixed Attack Slow Build Deep,2,0,1,1,20.337499999999636,66.85,10.0,1
626,Mixed Attack Slow Build Deep,2,0,0,2,24.875000000000227,45.435,14.5,1
627,Central Attack Slow Build Deep,2,0,0,2,14.948499999999513,30.915,9.5,0
628,Wing Attack Slow Build Mid,2,0,0,2,17.601000000000113,27.05,10.5,2
